127.0.0.1 - - [13/Mar/2018:12:05:52 +0000] "GET /2018/03/13/hello-world/ HTTP/1.1" 200 19556 "http://ideallife.local/2018/03/13/hello-world/" "WordPress/4.9.4; http://ideallife.local"
127.0.0.1 - - [13/Mar/2018:12:05:54 +0000] "POST /wp-cron.php?doing_wp_cron=1520942753.6393649578094482421875 HTTP/1.1" 499 0 "http://ideallife.local/wp-cron.php?doing_wp_cron=1520942753.6393649578094482421875" "WordPress/4.9.4; http://ideallife.local"
127.0.0.1 - - [13/Mar/2018:12:06:12 +0000] "GET / HTTP/1.0" 200 53222 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:12 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://ideallife.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:17 +0000] "GET /admin HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:17 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:17 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fideallife.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:18 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://ideallife.local/wp-login.php?redirect_to=http%3A%2F%2Fideallife.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:22 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://ideallife.local/wp-login.php?redirect_to=http%3A%2F%2Fideallife.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:35 +0000] "GET /wp-admin/ HTTP/1.0" 200 54826 "http://ideallife.local/wp-login.php?redirect_to=http%3A%2F%2Fideallife.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:35 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.4 HTTP/1.0" 200 109068 "http://ideallife.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
127.0.0.1 - - [13/Mar/2018:12:06:36 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.4 HTTP/1.0" 200 331511 "http://ideallife.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.146 Safari/537.36"
